ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Quantity;Short description;Description;URL rewritten;Image URLs (x,y,z...);Meta title;Meta description
11;1;Moonlight Earrings;Earrings;31.90;1;100;Lightweight earrings with moon-inspired silhouette and subtle shine. Created for modern fashion customers looking for elegant statement pieces.;Lightweight earrings with moon-inspired silhouette and subtle shine. Created for modern fashion customers looking for elegant statement pieces.;moonlight-earrings;assets/product-images/moonlight-earrings.svg;Moonlight Earrings;Lightweight earrings with moon-inspired silhouette and subtle shine. Created for modern fashion customers looking for elegant statement pieces.
12;1;Teardrop Pearl Earrings;Earrings;34.90;1;100;Classic teardrop earrings with pearl-like visual effect. Designed as a clean and timeless option for eventwear and gifting.;Classic teardrop earrings with pearl-like visual effect. Designed as a clean and timeless option for eventwear and gifting.;teardrop-pearl-earrings;assets/product-images/teardrop-pearl-earrings.svg;Teardrop Pearl Earrings;Classic teardrop earrings with pearl-like visual effect. Designed as a clean and timeless option for eventwear and gifting.
13;1;Minimal Hoop Earrings;Earrings;26.90;1;100;Small hoop earrings with minimalist proportions and polished finish. Good entry-level product for a simple and functional category range.;Small hoop earrings with minimalist proportions and polished finish. Good entry-level product for a simple and functional category range.;minimal-hoop-earrings;assets/product-images/minimal-hoop-earrings.svg;Minimal Hoop Earrings;Small hoop earrings with minimalist proportions and polished finish. Good entry-level product for a simple and functional category range.
14;1;Floral Clay Earrings;Earrings;28.50;1;100;Handmade earrings with floral motif and soft artisanal texture. Provide a more playful visual direction inside the product assortment.;Handmade earrings with floral motif and soft artisanal texture. Provide a more playful visual direction inside the product assortment.;floral-clay-earrings;assets/product-images/floral-clay-earrings.svg;Floral Clay Earrings;Handmade earrings with floral motif and soft artisanal texture. Provide a more playful visual direction inside the product assortment.
15;1;Hammered Brass Earrings;Earrings;30.90;1;100;Textured brass-look earrings with handcrafted hammered surface. Add material diversity and a stronger boutique identity.;Textured brass-look earrings with handcrafted hammered surface. Add material diversity and a stronger boutique identity.;hammered-brass-earrings;assets/product-images/hammered-brass-earrings.svg;Hammered Brass Earrings;Textured brass-look earrings with handcrafted hammered surface. Add material diversity and a stronger boutique identity.
16;1;Silver Wave Ring;Rings;24.90;1;100;Slim ring with flowing wave form and contemporary handcrafted character. Suitable as an affordable add-on purchase item.;Slim ring with flowing wave form and contemporary handcrafted character. Suitable as an affordable add-on purchase item.;silver-wave-ring;assets/product-images/silver-wave-ring.svg;Silver Wave Ring;Slim ring with flowing wave form and contemporary handcrafted character. Suitable as an affordable add-on purchase item.
17;1;Adjustable Leaf Ring;Rings;25.90;1;100;Adjustable ring with botanical design language and open structure. Works well in natural and handmade product storytelling.;Adjustable ring with botanical design language and open structure. Works well in natural and handmade product storytelling.;adjustable-leaf-ring;assets/product-images/adjustable-leaf-ring.svg;Adjustable Leaf Ring;Adjustable ring with botanical design language and open structure. Works well in natural and handmade product storytelling.
18;1;Rose Gold Ring;Rings;27.90;1;100;Simple ring with warm rose-gold effect and premium minimalist feel. Positioned as a gift-friendly universal product.;Simple ring with warm rose-gold effect and premium minimalist feel. Positioned as a gift-friendly universal product.;rose-gold-ring;assets/product-images/rose-gold-ring.svg;Rose Gold Ring;Simple ring with warm rose-gold effect and premium minimalist feel. Positioned as a gift-friendly universal product.
19;1;Black Stone Ring;Rings;32.90;1;100;Ring featuring dark central stone effect for stronger contrast and elegant styling. Helps widen catalog appeal toward bold accessories.;Ring featuring dark central stone effect for stronger contrast and elegant styling. Helps widen catalog appeal toward bold accessories.;black-stone-ring;assets/product-images/black-stone-ring.svg;Black Stone Ring;Ring featuring dark central stone effect for stronger contrast and elegant styling. Helps widen catalog appeal toward bold accessories.
20;1;Handmade Textured Ring;Rings;29.50;1;100;Artisan-inspired ring with irregular handcrafted texture and unique appearance. Supports the originality criterion of the assignment.;Artisan-inspired ring with irregular handcrafted texture and unique appearance. Supports the originality criterion of the assignment.;handmade-textured-ring;assets/product-images/handmade-textured-ring.svg;Handmade Textured Ring;Artisan-inspired ring with irregular handcrafted texture and unique appearance. Supports the originality criterion of the assignment.
